code_module,code_presentation,id_student,gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region,date_registration,unregistered,days_registered,avg_score,max_score,min_score,total_assessments,avg_days_submitted,banked_count,total_clicks,avg_clicks_per_day,active_days,first_activity,last_activity,activity_span,module_presentation_length,engagement_rate,score_range,completed_assessments_flag,struggle_flag,early_engager
AAA,2013J,11391,0,3,1.0,2,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.33333333333333337,0,0.36634844868735084,0.8200000000000001,0.85,0.78,0.17857142857142855,0.3642559109874826,0.0,0.03497363099250565,0.39823008849557523,0.13986013986013987,-5.0,253.0,0.8775510204081632,0.9714285714285706,0.017486815496252826,0.06999999999999995,1,0,1
AAA,2013J,28400,1,3,0.22222222222222224,1,0.0,0.16666666666666669,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5501022494887526,0,0.36634844868735084,0.664,0.7000000000000001,0.6,0.17857142857142855,0.3698887343532684,0.0,0.056901542487806815,0.2953282568429718,0.27972027972027974,-10.0,239.0,0.846938775510204,0.9714285714285706,0.04877275070383441,0.10000000000000009,1,0,1
AAA,2013J,30268,1,2,0.3333333333333333,1,0.0,0.16666666666666669,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0.47034764826175873,1,0.4904534606205251,0.0,0.0,0.0,0.0,0.012517385257301809,0.0,0.011142392640469487,0.3272007452258966,0.04195804195804196,-10.0,12.0,0.07482993197278912,0.9714285714285706,0.00955062226325956,0.0,0,0,1
AAA,2013J,31604,1,2,0.5555555555555556,1,0.0,0.16666666666666669,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.5521472392638037,0,0.36634844868735084,0.76,0.88,0.71,0.17857142857142855,0.36363004172461755,0.0,0.08557040326737778,0.28804442130834634,0.43006993006993005,-10.0,264.0,0.9319727891156462,0.9714285714285706,0.07334605994346666,0.17000000000000004,1,0,1
AAA,2013J,32885,1,1,0.5555555555555556,0,0.0,0.16666666666666669,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.29856850715746425,0,0.36634844868735084,0.544,0.75,0.3,0.17857142857142855,0.40556328233657857,0.0,0.04100083270549982,0.25995575221238937,0.24475524475524477,-10.0,247.0,0.8741496598639455,0.9714285714285706,0.03514357089042842,0.45,1,0,1
AAA,2013J,38053,0,2,0.888888888888889,1,0.0,0.16666666666666669,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.4335378323108385,0,0.36634844868735084,0.68,0.79,0.5,0.17857142857142855,0.37614742698191933,0.0,0.09695071176493913,0.29926926890170014,0.5,-10.0,267.0,0.9421768707482993,0.9714285714285706,0.08310061008423354,0.29000000000000004,1,0,1
AAA,2013J,45462,0,3,0.3333333333333333,0,0.0,0.16666666666666669,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5214723926380369,0,0.36634844868735084,0.68,0.75,0.62,0.17857142857142855,0.3711404728789986,0.0,0.05813077441611483,0.36544933316714445,0.3146853146853147,-10.0,267.0,0.9421768707482993,0.9714285714285706,0.049826378070955565,0.13,1,0,1
AAA,2013J,45642,1,2,1.0,0,0.0,0.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5991820040899796,0,0.36634844868735084,0.7240000000000001,0.73,0.72,0.17857142857142855,0.3780250347705146,0.0,0.05614814227368254,0.2359882005899705,0.36713286713286714,-9.0,264.0,0.9285714285714285,0.9714285714285706,0.037432094849121696,0.010000000000000009,1,0,1
AAA,2013J,52130,1,2,0.7777777777777778,0,0.0,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.591002044989775,0,0.36634844868735084,0.7140000000000001,0.75,0.68,0.17857142857142855,0.374269819193324,0.0,0.07510210555533527,0.282648599441866,0.42657342657342656,-4.0,245.0,0.846938775510204,0.9714285714285706,0.05632657916650145,0.06999999999999995,1,0,1
AAA,2013J,53025,0,4,0.11111111111111113,2,0.0,0.16666666666666669,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.29243353783231085,0,0.36634844868735084,0.78,0.81,0.71,0.17857142857142855,0.3554937413073713,0.0,0.12498513025893176,0.30855979324927557,0.4965034965034965,-7.0,257.0,0.8979591836734694,0.9714285714285706,0.10713011165051294,0.10000000000000009,1,0,1
